IK_INTERN,BEZ_KASSE,IK_AUFN_KASSE,VK_NUMMER,GBO
108389302,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
108389404,GAERTNER-KRANKENKASSE,108377503,71612,2
108389459,HZK-Krankenkasse Bau u.,108389687,71614,2
108389460,KEH Ersatzkasse,101520078,40617,2
108389482,GEK,108380007,71611,2
108389687,GEK,108380007,71611,2
109389291,BRAUNSCHWEIGER KASSE,,73613,2
109389304,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
109389406,GAERTNER-KRANKENKASSE,109377505,73612,2
109389451,HZK-Krankenkasse Bau u.,109389689,73614,2
109389462,KEH Ersatzkasse,101520078,40617,2
109389484,GEK,109380009,73611,2
109389689,GEK,109380009,73611,2
109589293,BRAUNSCHWEIGER KASSE,,72613,2
109589306,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
109589408,GAERTNER-KRANKENKASSE,109577507,72612,2
109589453,HZK-Krankenkasse Bau u.,109589681,72614,2
109589464,KEH Ersatzkasse,101520078,40617,2
109589486,GEK,104940005,72611,2
109589681,GEK,104940005,72611,2
109789295,BRAUNSCHWEIGER KASSE,,72613,2
109789308,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
109789400,GAERTNER-KRANKENKASSE,109577507,72612,2
109789455,HZK-Krankenkasse Bau u.,109589681,72614,2
109789466,KEH Ersatzkasse,101520078,40617,2
109789488,GEK,104940005,72611,2
109789683,GEK,104940005,72611,2
100189290,BRAUNSCHWEIGER KASSE/SVA,,78613,2
100189303,Buchdrucker Ost/SVA,100189688,99616,2
100189405,GAERTNER-KRANKENKASS/SVA,100177504,78612,2
100189450,HZK-Krankenkasse Bau/SVA,100189688,78614,2
106389455,HZK-Krankenkasse Bau/SVA,106289454,47614,2
106389466,KEH Ersatzkasse/SVA,101520078,40617,2
106389488,GEK/SVA,106289682,47611,2
106389683,GEK/SVA,106289682,47611,2
106489296,BRAUNSCHWEIGER KASSE/SVA,,49613,2
106489309,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
106489401,GAERTNER-KRANKENKASS/SVA,106477500,49612,2
106489456,HZK-Krankenkasse Bau/SVA,106289454,49614,2
106489467,KEH Ersatzkasse/SVA,101520078,40617,2
106489489,GEK/SVA,106289682,49611,2
106489684,GEK/SVA,106289682,49611,2
106589297,BRAUNSCHWEIGER KASSE/SVA,,50613,2
106589300,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
106589402,GAERTNER-KRANKENKASS/SVA,106577501,50612,2
106589457,HZK-Krankenkasse Bau/SVA,106289454,50614,2
106589468,KEH Ersatzkasse/SVA,101520078,40617,2
106589480,GEK/SVA,106289682,50611,2
106589685,GEK/SVA,106289682,50611,2
106789299,BRAUNSCHWEIGER KASSE/SVA,,55613,2
106789302,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
106789404,GAERTNER-KRANKENKASS/SVA,106777503,55612,2
106789459,HZK-KK f. Bau u. Hol/SVA,106789687,55614,2
106789460,KEH Ersatzkasse/SVA,101520078,40617,2
106789482,Gm?nder ErsatzKasse/SVA,106780007,55611,2
106789687,Gm?nder ErsatzKasse/SVA,106780007,55611,2
107289296,BRAUNSCHWEIGER KASSE/SVA,,96613,2
107289309,Buchdrucker Ost/SVA,100189688,99616,2
107289401,GAERTNER-KRANKENKASS/SVA,107277500,95612,2
107289456,HZK-Krankenkasse Bau/SVA,107289684,94614,2
107289467,KEH Ersatzkasse / Os/SVA,102192471,99617,2
107289489,GEK/SVA,107280004,96611,2
107289684,GEK/SVA,107280004,96611,2
107389297,BRAUNSCHWEIGER KASSE/SVA,,60613,2
107389300,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
107389402,GAERTNER-KRANKENKASS/SVA,107377501,60612,2
107389457,HZK-Krankenkasse Bau/SVA,106789459,60614,2
107389468,KEH Ersatzkasse/SVA,101520078,40617,2
107389480,GEK/SVA,106789687,60611,2
107389685,GEK/SVA,106789687,60611,2
107889292,BRAUNSCHWEIGER KASSE/SVA,,62613,2
107889305,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
107889407,GAERTNER-KRANKENKASS/SVA,107877506,62612,2
107889452,HZK-Krankenkasse Bau/SVA,106789459,62614,2
107889463,KEH Ersatzkasse/SVA,101520078,40617,2
107889485,GEK/SVA,106789687,62611,2
107889680,GEK/SVA,106789687,62611,2
108079808,GEK/SVA,105180009,40611,2
108089296,BRAUNSCHWEIGER KASSE/SVA,,61613,2
108089309,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
108089401,GAERTNER-KRANKENKASS/SVA,108077500,61612,2
108089456,HZK-Krankenkasse Bau/SVA,106789459,61614,2
108089467,KEH Ersatzkasse/SVA,101520078,40617,2
108089489,GEK/SVA,106789687,61611,2
108089684,GEK/SVA,106789687,61611,2
108389299,BRAUNSCHWEIGER KASSE/SVA,,71613,2
108389302,BUCHDRUCKER-KRANKENK/SVA,101789686,17616,2
108389404,GAERTNER-KRANKENKASS/SVA,108377503,71612,2
108389459,HZK-Krankenkasse Bau/SVA,108389687,71614,2
108389460,KEH Ersatzkasse/SVA,101520078,40617,2
100189461,KEH Ersatzkasse / Os/SVA,102192471,99617,2
100189483,GEK/SVA,100180008,78611,2
100189688,GEK/SVA,100180008,78611,2
100589294,BRAUNSCHWEIGER KASSE/SVA,,79613,2
100589307,Buchdrucker Ost/SVA,100189688,99616,2
100589409,GAERTNER-KRANKENKASS/SVA,100577508,79612,2
