IK_INTERN,BEZ_KASSE,IK_AUFN_KASSE,VK_NUMMER,GBO
109939207,DIE BKK POST/BEG,101939006,61402,1
109939218,DIE BKK POST/BEG,101939006,61402,1
109939229,DIE BKK POST/BEG,101939006,61402,1
109939708,BKK BVM Hauptverwalt/BEG,107536262,02403,1
109939843,DIE BKK POST/BEG,101939006,61402,1
109991291,Deutsche BKK Ost/BEG,101939006,99525,1
109991304,Deutsche BKK/BEG,,07423,1
109991996,BKK BVM Hauptverwalt/BEG,107536262,02403,1
103526294,BKK Bombardier/BEG,108836600,18514,1
103526330,BKK THOMAS/BEG,108836600,18571,1
103526432,BKK Sauerland/BEG,101523446,18569,1
103526591,BKK Schwelmer Eisenw/BEG,103525419,18523,1
103526615,BKK VDN/BEG,,18544,1
103526659,BKK Gontermann,103525567,18451,1
103526660,BKK Bertrams,103524522,18407,1
103526682,BKK Milke,108029910,18564,1
103526693,BKK REGIONALVERKEHR/BEG,103726263,18507,1
103526795,BKK Aluminium,103729518,18488,1
103526808,BKK Westig,103729518,18535,1
103526853,Betriebskrankenkasse/BEG,103526875,18547,1
103526864,BKK Krupp Br?ninghau/BEG,104525035,18529,1
103526875,BKK M„rkischer Kreis/BEG,103524372,18542,1
103526897,BKK DEMATIC/BEG,101391700,18420,1
103526944,BKK Lohm.u.Stolt.,104224703,18481,1
103526955,BKK Flachglas,103725160,18423,1
103526966,BKK DITTMANN & NEUHA/BEG,103524522,18424,1
103526977,BKK Thyssen Industri/BEG,104525035,31423,1
103527262,BKK Hoesch-Schmiedag/BEG,103524522,18519,1
103527284,BKK Sundw Messingw,107535988,18518,1
103527295,BKK Herne Stadt,104826197,18527,1
103527308,HEITKAMP BKK/BEG,,18573,1
103527320,BKK Witte,103729518,18562,1
103527397,BKK H?ck,103526432,18464,1
103527444,BKK Brockhaus/BEG,104424829,18413,1
103527466,BKK WALDRICH SIEGEN/BEG,103525567,18550,1
103527514,BKK Standard-Metallw/BEG,104826197,18577,1
103527536,BKK Wickeder Westf,103526864,18572,1
106331560,BKK Jung Jungenth./BEG,,47417,1
106331593,BKK evm/BEG,,47419,1
106331606,BKK K”nigsbacher,106329793,47420,1
106331617,BKK DEINHARD/BEG,106329793,47412,1
106331628,BKK ™ffentlicher Die/BEG,109939708,47432,1
106331640,BKK Schmidt, C.S.,106329793,47429,1
106331742,BKK RASSELSTEIN/BEG,104437993,47430,1
106331764,BKK BOESNER/BEG,,47406,1
106331775,BKK Hilgers,106329793,47416,1
106331811,BKK Veitsch-Ra,106329793,47408,1
106331877,BKK Blaue Quellen,106329793,47424,1
106428247,BKK Advita,106229304,49412,1
106428292,BKK Advita Ost,106428247,99516,1
106436760,SIEMENS BKK / Netz M/BEG,108433248,64501,1
106436771,SIEMENS BKK / Netz G/BEG,108433248,64531,1
106436817,NšRNBERGER BKK MFM/BEG,102122660,64513,1
106436828,NšRNBERGER BKK GOIN/BEG,102122660,64533,1
106436851,BKK ALLIANZ / Netz M/BEG,108432429,64521,1
106436884,BKK Bavaria / GOIN/BEG,108729553,64538,1
106436895,BKK AKZENT / Netz GO/BEG,108532794,64526,1
106436908,BKK HYPOVER./GO-IN/BEG,108428980,64505,1
106436931,BKK TEKADE-FGF / N.G/BEG,108538164,64534,1
106436942,BKK TEKADE-FGF/Netz /BEG,108538153,64524,1
106436953,BKK Bavaria / Netz M/BEG,108729553,64528,1
106436975,AUDI BKK / Netz MFM/BEG,108534160,64514,1
106436986,BKK MAN u. MTU/Netz /BEG,108433204,64518,1
106436997,BKK MAN u.MTU/Netz G/BEG,108433204,64535,1
106437000,AUDI BKK / Netz GO-I/BEG,108534160,64532,1
108537868,BKK Deutsche Bank GO/BEG,104224634,64509,1
108537926,BKK ESSANELLE GO-IN/BEG,109139915,64508,1
108537937,BKK AKZO Nobel Bay.G/BEG,108833355,64512,1
108538051,BKK d.St. Augsburg G/BEG,109132678,64530,1
108538153,BKK mhplus MfM/BEG,108035612,64551,1
108538164,mhplus BKK Netz GOIN/BEG,108035612,64519,1
108538288,BKK AKS Netz GOIN/BEG,109129662,64502,1
108538299,BKK AKS Netz MFM/BEG,109129662,64504,1
108538574,BKK Schwestern. Netz/BEG,108433099,64537,1
108538585,BKK Schwesternsch N./BEG,108433099,64536,1
108539520,Bahn BKK Netz GOIN/BEG,109938503,64506,1
108539633,BKK N-ERGIE Netz GOI/BEG,108723249,64525,1
108539724,BKK f?r Heilberufe G/BEG,104628222,64516,1
108539779,BKK Airbus GOIN,,64550,1
108539780,BKK Linde Netz GOIN/BEG,105830517,64517,1
108539791,BKK Mobil Oil Netz G/BEG,101520078,64546,1
108539859,BKK Junghans+Part. G/BEG,108537221,64545,1
108591013,AXA BKK Netz GOIN,104628142,64547,1
108591160,BKK Rheinland Netz GOIN,104624411,64548,1
108591240,BKK DEMAG K-M GOIN,104424794,64549,1
108591499,BKK ProVita/BEG,,68415,1
108591503,BKK A.T.U. / Ost/BEG,108591499,99589,1
108591763,Autoclub BKK Netz GO-IN,108491740,64554,1
108591843,Autoclub BKK Netz MfM,108491740,64555,1
108591956,BKK 24 Netz GO-IN,102122660,64556,1
108592070,Taunus BKK Netz GOIN,107535409,64557,1
108592241,PBK Die Pers”nl. Ost/BEG,108532794,99409,1
108623102,Brose Betriebskranke/BEG,108833505,65404,1
109992101,BKK BVM Hauptverwalt/BEG,107536262,02403,1
100220391,BKK Siemens Ost/GG,108433248,99404,1
100220415,BKK Dr„ger & Hanse,103524407,78406,1
100221472,BKK Elbe-Werft,100323099,78409,1
100229891,BKK Nordelbe,100323099,78402,1
100320611,BKK MTW Wismar,100323099,78405,1
100323099,BKK Dr„ger & Hanse,103524407,78406,1
100323282,BKK Rostocker Straáenbah,105320805,78412,1
100334526,BKK Dr„ger & Hanse-We/GG,100323099,78415,1
100621352,BKK H.E.S. Hennigsdor/GG,,79401,1
100721525,BKK Lauchhammer,104529255,80405,1
100723572,BKK Hoechst,105323535,80402,1
100820488,Brandenburgische BKK/GG,,81401,1
100821753,BKK Uckermark/GG,,81402,1
100821957,BKK Hoffnugstaler,103729701,81403,1
101020687,BKK Henkel Ost/GG,104232371,99425,1
101120677,BKK Zemag GmbH Zeitz,105320805,86405,1
101120735,NOVITAS Vereinigte BKK,104491718,86404,1
101123260,BKK MDVH HALLE,104521598,86408,1
101123395,BKK Schwenk - Ost/GG,107832023,99532,1
101320338,BKK DRAEGER,100334526,01418,1
101320349,SIEMENS BETRIEBSKRANK/GG,108033244,63401,1
101323160,BKK Dr„ger Ost,100323099,99496,1
101332332,BKK Gruner + Jahr,104437993,01419,1
101391700,Novitas BKK-Die Pr„v./GG,104491707,01422,1
101392518,BKK Gruner + Jahr,104437993,01419,1
101520012,BKK DEUTSCHE BP/GG,103720018,02438,1
101520067,BKK Hmb. Hochbahn,101538012,02417,1
101520078,Mobil Krankenkasse/GG,,09455,1
103527649,BKK Sudhaus,103729518,18517,1
103527672,BKK ALCAN DEUTSCHL./BEG,103526432,18493,1
103528274,BKK Hoesch Ost/BEG,103524522,99514,1
103529026,SIGNAL IDUNA BKK/BEG,103500693,18402,1
103529071,SIGNAL IDUNA BKK OST/BEG,103529026,99528,1
103529457,BKK Aktiv / Ost/BEG,106229451,99586,1
103532065,BKK Nickel Werke/BEG,103526615,99565,1
103532270,VBK-BKK VEW ENERGIE /BEG,102131240,18419,1
103720018,BKK Deutsche BP AG/BEG,103524407,19408,1
103720893,BKK Bertelsmann Ost/BEG,103725342,99452,1
103720962,BKK Deutsche BP/O./BEG,103720018,99595,1
103721440,BKK h?lsta,103729518,19401,1
103723317,BKK Miele Ost/BEG,103725364,99494,1
103723339,BKK 2000/BEG,104526376,19403,1
103723896,BKK Oetker August Os/BEG,103724238,99509,1
103723998,BKK Kromschr”der,102529592,19406,1
103724227,BKK Bertelmann u.N,103729518,19546,1
103724238,Heimat Krankenkasse/BEG,,19418,1
103724249,BKK Duerkopp Adler/BEG,,19409,1
103724250,DIE GEMEINSAME BKK/BEG,104526376,28434,1
103724261,BKK Delius & S”hne B/BEG,103724238,19405,1
103724272,BKK Gildemeister Sei/BEG,,19410,1
103724283,BKK MEWI Parker/BEG,103729518,19543,1
103724294,BKK Diakonie/BEG,,19402,1
103724329,BKK Ibena,103729518,19424,1
103724330,BKK STEUERB./JUR.BER/BEG,107929713,19425,1
103724341,BKK Gildemeister Sei/BEG,,19410,1
103724352,BKK Gildemeister Sei/BEG,,19410,1
103724363,BKK Gildemeister Sei/BEG,,19410,1
106531799,BKK STADT TRIER,109939003,50405,1
106531802,BKK RWE ENERGIE AG,102131240,50404,1
106835364,BKK Katzwerke GmbH,106929904,56405,1
106835375,BKK Bad. Karton-F.,107629981,56403,1
106836387,BKK Holtzmann,106929904,56404,1
106928388,BKK S?dzucker Ost/BEG,106936311,99499,1
106929904,GEMEINSAME BKK AUS B/BEG,107829712,52402,1
106932204,GEMEINSAME BKK AUS B/BEG,107829723,99569,1
106935263,LORENZ-BKK/BEG,107832012,52409,1
106935274,BKK SPINNEREI ETTLI./BEG,,52406,1
106935285,BKK Buhl,106929904,52403,1
106935504,BKK BAD.BEAMTENBANK/BEG,107832012,52401,1
106935515,BKK STADT KARLSRUHE/BEG,109939708,52412,1
106935526,BKK PFAFF KARLSRUHE/BEG,,52407,1
106936311,BKK SUEDZUCKER/BEG,,52405,1
107023228,BKK Rhein Neckar Ost/BEG,107031126,99491,1
107029279,BKK Roche Diagnostic/BEG,104628233,99533,1
107031126,BKK RHEIN-NECKAR/BEG,108035451,53425,1
107035563,BKK HEIDELB.ZEMENT/BEG,107031126,53418,1
107035621,BKK Rhein-Neckar,107031126,53414,1
107035632,BKK PWA Waldhof,107031126,53428,1
107035643,BKK V”gele,107031126,53427,1
107035676,BKK GROSSKRAFTWERK/BEG,107031126,53429,1
107035687,BKK ROCHE DIAGNOSTIC/BEG,104628222,53401,1
107035698,BKK Bopp u.Reuther,107031126,53402,1
107035712,BKK Friatec,107031126,53403,1
107036370,BKK FREUDENBERG/BEG,,53408,1
107135212,Die schw„bische BKK/BEG,107535396,54405,1
107135780,BKK Niefern,106929904,54401,1
108632535,BKK Schumann, Carl/BEG,,65448,1
108632773,BKK STADT COBURG/BEG,108431963,65450,1
108632784,BKK WALDRICH COBURG/BEG,108532794,65458,1
108632886,BKK Knopfs Sohn/BEG,,65419,1
108632900,BKK Textilgruppe Hof/BEG,,65424,1
108633068,BKK SCHOEDEL AG/BEG,108836600,65447,1
108633375,BKK Kleinschanzlin,106428247,65402,1
108633411,BKK ANNAWERK/BEG,108532794,65403,1
108633422,BKK W. Goebel Roeden/BEG,109033393,65412,1
108633433,BKK Kassana/BEG,107832012,65451,1
108633525,BKK Hutschenreuth,108729553,65417,1
108633536,BKK ROSENTHAL/BEG,109939003,65439,1
108634194,SIEMENS BETRIEBSKRAN/BEG,108033244,63401,1
108723249,N-ERGIE BKK/BEG,103524407,66417,1
108729018,BKK Provita/BEG,108532794,66409,1
108729450,BKK aktiv Ost/BEG,103529457,99538,1
108729461,NUERNBERGER BKK/BEG,102122660,66413,1
108729472,N?rnberger BKK/BEG,102732316,99541,1
108729483,BKK N?rnb. Allgem.,108729461,66412,1
108729494,BKK N?rnb.Allg.Ost,108729472,99540,1
108729553,BAVARIA BKK/BEG,109139915,66408,1
108732171,BKK Provita Ost/BEG,108592241,99568,1
108732499,BKK Faber-Castell N./BEG,109033393,66507,1
108732525,BKK OECHSLER/BEG,108532794,66410,1
108732809,BKK Erba,108729553,66402,1
108733285,BKK TE KA DE - FGF/BEG,108035612,66414,1
108733296,SIEMENS BETRIEBSKRAN/BEG,108033244,63401,1
108733309,BKK Triumph-Adler,105330204,66415,1
108733310,BKK Schlenk,108729553,66404,1
101520089,BKK BLOHM + VOSS/GG,104525035,02404,1
101520090,BKK NORDDEUTSCHE AFFI/GG,101391700,02424,1
101520103,BKK AXEL SPRINGER /GG,105830016,02439,1
101520114,City BKK/GG,108038012,02418,1
101520136,BKK der HEW AG/GG,,02440,1
101520147,Shell BKK/LIFE/GG,105830016,02409,1
101520158,BKK der SVEDALA-Grupp/GG,,02432,1
101520169,BKK N-Y Hbg Gummi,101520181,02423,1
101520181,BKK PHOENIX/GG,104491707,02419,1
101520192,BKK ADM ™LMšHLEN GMBH/GG,,02433,1
101520294,BKK HAMBURG-SšD/GG,,02416,1
101520329,ESSO BKK/GG,104491707,02413,1
101520352,Shell BKK/LIFE -Ost-/GG,101520147,99423,1
101520363,BKK Hermes Kreditvers/GG,108432429,02415,1
101520454,BKK Springer, Axel / /GG,101520103,99421,1
101520900,BKK Hermes Kreditvers/GG,109720750,99437,1
101520966,BKK Deutsche BP Ost/GG,103720962,99435,1
101521547,Esso BKK Ost/GG,101520329,99458,1
101522116,Novitas BKK/GG,,02407,1
101523297,BKK Philips/GG,103523440,02420,1
101523446,Continentale BKK/GG,,02422,1
101530753,BKK Still,105830517,02434,1
101530764,BKK Still Ost,105821242,99555,1
101531220,BKK Vereins-und Westb/GG,108428980,02425,1
101531231,BKK Vereinsbank Westb/GG,108428991,99559,1
101532152,BKK PHOENIX - Ost/GG,101520181,99566,1
101532243,BKK SPAR/GG,109939708,02429,1
101532254,Betriebskrankenkasse /GG,109938046,99570,1
101532301,BKK Beiersdorf/GG,105830016,02402,1
101534564,BKK IDUNA/GG,103529026,02414,1
103724374,BKK Gildemeister Sei/BEG,,19410,1
103725159,BKK K?ppersbusch,104526376,19456,1
103725160,BKK Pilkington/BEG,103524372,19542,1
103725193,BKK Seppelfricke,104526252,19539,1
103725217,BKK VEBA OEL/BEG,103720018,19538,1
103725228,BKK SCHALKER EISENH./BEG,104526376,19452,1
103725262,BKK Biederlack,103729518,19463,1
103725284,BKK Cramer,103729518,19461,1
103725319,BKK Baumwollsp.Gr.,103729518,19466,1
103725320,BKK VAN DELDEN AG/BEG,,19467,1
103725342,BKK BERTELSMANN/BEG,,19557,1
103725364,BKK MIELE/BEG,,19473,1
103725525,BKK Herford,103725547,19483,1
103725547,BKK HMR/BEG,103726081,19479,1
103725558,BKK Herta,103729518,19553,1
103725581,BKK Niemeyer,102529592,19524,1
103725592,BKK Geha-Werke,103729518,19551,1
103725616,BKK Keller,102529592,19491,1
103725912,BKK Windm”ller,102529592,19494,1
103725989,BKK Degussa/BEG,104526376,19486,1
103726069,BKK Lafarge Dachsyst/BEG,103725547,19478,1
103726081,BKK MELITTA HMR/BEG,,19540,1
103726092,BKK OWL/Drabert/BEG,103726081,19548,1
103726263,BKK Westfalen-Lippe/BEG,103524407,19504,1
103726274,BKK Aschendorff,103729518,19500,1
103726310,BKK Hecking, J.,103729518,19508,1
103726398,BKK Westfalia Separa/BEG,104424794,19536,1
103726401,BKK BENTELER/BEG,108433248,19544,1
103726412,BKK Pesag AG,102129930,19513,1
107135859,GEMEINSAME BKK AUS B/BEG,107829712,52402,1
107221809,BKK MAN PLAMAG/BEG,104529255,94406,1
107429741,BKK SUEDWEST/BEG,107531940,57415,1
107429785,BKK Hochrhein-Wiesen/BEG,108035612,57425,1
107435293,BKK Uni Freiburg,104424829,57429,1
107435306,BKK Herder,107629981,57412,1
107435408,BKK Hoffmann,107429741,57403,1
107435419,BKK Ciba-Geigy AG,107429741,57410,1
107435420,BKK G?termann,107629981,57411,1
107435590,BKK KBC L”rrach,107429741,57418,1
107435603,BKK Suchard,106929904,57426,1
107435910,BKK Degussa Rheinf,107429741,57432,1
107435921,BKK Aluminium,107429785,57431,1
107435932,BKK KWR AG/BEG,107832012,57434,1
107435943,BKK H?ls,103725989,57433,1
107436158,BKK Papierf.Neust.,107629981,57413,1
107436410,BKK Spinn.u.Weber.,107429785,57424,1
107531187,BKK Schwarzwald-Baar/BEG,,58435,1
107531405,MARQUART BKK/BEG,108431406,58441,1
107531940,BKK Bodensee + S?dwe/BEG,107929713,58425,1
107532042,BKK RIEKER RICOSTA W/BEG,,58440,1
107535103,BKK Seiba S„ck.,107435932,58421,1
107535114,BKK Brennet,107429785,58419,1
107535396,BKK FAHR/BEG,107535409,58428,1
107535409,BKK GESUNDHEIT/BEG,105830016,45409,1
107535751,BKK SKF Werk M?hlhei/BEG,108833505,58439,1
107535864,BKK Schiesser & P.,107531940,58424,1
107535977,BKK BURGER/BEG,107531187,58407,1
107535988,BKK JUNGHANS + PARTN/BEG,108035451,58433,1
108733321,BKK AKTIV/BEG,103524383,66401,1
108733332,BKK Provita/BEG,108532794,66409,1
108733456,BKK Bayerische Kabel/BEG,,66403,1
108733467,BAVARIA BKK/BEG,109139915,66408,1
108733559,BKK FABER-CASTELL/BEG,109033393,66407,1
108734184,SIEMENS BETRIEBSKRAN/BEG,108033244,63401,1
108734208,SIEMENS BETRIEBSKRAN/BEG,108033244,63401,1
108734300,METRO AG KAUFHOF BKK/BEG,102171012,27405,1
108734333,BKK Allianz Netz-PNN/BEG,108432429,66521,1
108734355,BKK Provita Netz-PNN/BEG,108729018,66508,1
108734388,BKK HYPOVEREINSBANK /BEG,108428980,66505,1
108734402,BKK Siemens Netz-PNN/BEG,108433248,66501,1
108734424,BKK Audi Ingolstadt /BEG,108534160,66514,1
108734446,BKK BMW Netz-PNN/BEG,109034270,66510,1
108734468,BKK Mercdes-Benz PNN/BEG,,03405,1
108734491,DaimlerChrysler BKK /BEG,108030775,66577,1
108734516,Karstadt Quelle BKK /BEG,104525035,66562,1
108734594,BKK TEKADE-FGF Netz /BEG,108733285,66524,1
108734618,BKK MAN u. MTU Netz /BEG,108433204,66518,1
108734630,BKK f?r Heilberufe P/BEG,,66504,1
108734652,N?rnberger BKK PNN/BEG,102122660,66513,1
108734674,BKK N-ERGIE Netz PNN/BEG,108723249,66517,1
108734696,BKK Aktiv Netz PNN/BEG,103524383,66530,1
108734710,BAVARIA BKK  PNN/BEG,108729553,66528,1
108734721,BKK Vereinte KV AG P/BEG,,66509,1
108734732,BKK FUTUR Netz PNN/BEG,104826197,66553,1
108734787,BKK Rheinland Netz P/BEG,104624411,66560,1
108734812,BKK La. Bayern PNN/BEG,,66512,1
101534575,IDUNA BKK Ost/GG,103529071,99574,1
101536919,BKK Hamburg Mannheime/GG,107535409,02412,1
101536920,BKK Hamburg Mannheime/GG,105836717,99578,1
101538012,City BKK/GG,108038012,02418,1
101592133,City BKK / Ost/GG,108092133,99558,1
101592213,BKK SPAR/GG,109939708,02429,1
101592235,BKK Beiersdorf/GG,105830016,02402,1
101592280,BKK AXEL SPRINGER /GG,105830016,02439,1
101592371,BKK Philips/GG,103523440,02420,1
101592554,BKK NORDDEUTSCHE AFFI/GG,101391700,02424,1
101592587,BKK PHOENIX/GG,104491707,02419,1
101592612,BKK Beiersdorf/GG,105830016,02402,1
101892147,BKK UPM Nordland Papi/GG,109131438,17401,1
101922859,BKK Braunschweig,107535409,07420,1
101936606,BKK FTE,108534160,17402,1
101937424,BKK FTE-Ost,101936606,99547,1
102022237,Gothaer BKK/GG,,08406,1
102022271,BKK PHOENIX/GG,104491707,02419,1
102023626,Gothaer BKK Ost/GG,,99504,1
102030340,Gothaer BKK/GG,,08406,1
102120076,Mobil Krankenkasse/GG,,09455,1
102121738,BKK Neun Plus Ost,109139926,99471,1
102121830,BKK Pelikan/Ost,102129850,99487,1
102122294,BKK Kabelmetal,104826197,09418,1
102122476,BKK der Stadtwerke Hanno,108591499,09432,1
102122795,BKK FTE,101936606,09429,1
102129849,BKK NEUN PLUS,109139915,09451,1
102129850,BKK Neun Plus Ost,109139926,99471,1
102136735,BKK FTE-Ost,101937424,99581,1
102137985,BKK TUI/GG,,09452,1
103726478,BKK Thyssen Industri/BEG,104525035,31423,1
103726548,BKK Simonswerk,103725364,19516,1
103726559,BKK K?mpers, F.A.,104526376,19522,1
103727093,BKK Dom.u. Forstv.,103724294,19526,1
103727106,BKK Seidensticker,103724272,19550,1
103727435,BKK C.&F.Fraling Gmb/BEG,,19556,1
103727491,BKK Kock,104526376,19429,1
103727629,BKK Vestische,103726263,19484,1
103728174,BKK apetito AG,103729518,19407,1
103728196,BKK apetito/BEG,,99512,1
103728301,BKK STEUERB./JUR.BER/BEG,107929724,99515,1
103729518,BKK 2000/BEG,104526376,19403,1
103729529,BKK VKR,102129930,19411,1
103729621,BKK Degussa -Ost-/BEG,104529255,99544,1
103729701,BKK Diakonie/BEG,103724294,99546,1
103736722,BKK Lafarge Dachsyst/BEG,103726069,99576,1
103791489,BKK Gildemeister-Ost/BEG,103724272,99590,1
103791490,BKK Gildemeister Sei/BEG,,19410,1
103791504,BKK Gildemeister Sei/BEG,,19410,1
103792572,BKK HMR/BEG,103726081,19479,1
103792663,BKK MIELE/BEG,,19473,1
104123437,SAINT-GOBAIN BKK/Ost/BEG,104124029,99500,1
104123687,BKK Continental/BEG,102522653,09446,1
104124029,SAINT-GOBAIN BKK/BEG,105830016,21408,1
104124575,BKK Anker-Teppiche,104127692,21417,1
104124597,BKK Heimbach /BEG,104127692,21412,1
104124962,BKK WIRTH/BEG,104826197,21404,1
104124973,BKK Lynenwerk,104127692,21409,1
104125509,BKK EUREGIO/BEG,,21407,1
104125894,BKK GEBR.HOESCH GMBH/BEG,,21413,1
107536002,BKK der Alcan Singen/BEG,108534160,58402,1
107536013,BKK Fischer,107531940,58411,1
107536024,BKK MAGGI SINGEN/BEG,107531940,58418,1
107536035,BKK WEISSER ST.G./BEG,107532042,58426,1
107536057,BKK B„uerle, Tob.,107531187,58404,1
107536079,BKK B„uerle, Math.,107531187,58403,1
107536160,BKK Hohner, M.,107531187,58431,1
107536171,BKK AESCULAP/BEG,105530444,58430,1
107536182,BKK RIEKER U. RICOST/BEG,107532042,58436,1
107536262,vivida bkk/BEG,,58434,1
107536273,BKK Schlenker, J.,107536262,58438,1
107536284,BKK MANNESM.KIENZLE/BEG,108433248,58415,1
107536295,BKK Arlen GmbH,108729553,58405,1
107536308,BKK J„ckle, J.,107531187,58432,1
107536331,BKK Lauffenm?hle,107429741,58417,1
107536433,BKK Pap.Fabr.Albbr,107429785,58420,1
107538890,BKK Schwenninger Ost/BEG,107536262,99583,1
107621415,BKK UMEDIA Ost/BEG,107535396,99449,1
107629981,BKK UMEDIA/BEG,107535396,59411,1
107629992,BKK UMEDIA Ost/BEG,107535396,99449,1
107635046,BKK Glash. Achern,107629981,59406,1
107635353,BKK HUKLA-WERKE/BEG,107629981,59405,1
107635810,BKK AUGUST KOEHLER/BEG,107629981,59402,1
107635832,BKK Burda,107629981,59401,1
107636423,BKK ZELLER KERAMIK/BEG,,59404,1
107720471,BKK Barkas,109921296,94401,1
107720596,BKK Kfz Werdau,107720643,94402,1
107720643,BKK Automobilzuliefe/BEG,101120735,94403,1
107721381,BKK STEUERB./JUR.BER/BEG,107929724,99515,1
108734823,BKK Deutsche Bank PN/BEG,104224634,66573,1
108734889,Bahn BKK Netz PNN/BEG,109938503,66549,1
108734890,BKK ESSANELLE / PNN/BEG,109139915,66515,1
108734903,neue BKK Netz PNN/BEG,108035451,66575,1
108736610,BKK Seltmann/N.PNN/BEG,,66502,1
108736723,Shell BKK / LIFE PNN/BEG,101520147,66592,1
108736756,BKK OSTBAYERN / Netz/BEG,108738543,66506,1
108736789,BKK BAYERNWERK Netz /BEG,,66503,1
108736790,AXA BKK Netz PNN/BEG,104628142,66548,1
108736892,Schwenninger BKK N. /BEG,107536262,66563,1
108736927,BKK Bauknecht Netz P/BEG,,66550,1
108736949,BKK Linde Netz PNN/BEG,105830517,66558,1
108736983,BKK AKZO Nobel PNN/BEG,108833355,66511,1
108737041,SKD BKK Netz PNN/BEG,108833505,66522,1
108737052,Securvita BKK Netz P/BEG,101320032,66574,1
108737449,BKK AKZENT / Netz PN/BEG,108532932,66526,1
108737494,BKK Merc.-Benz HERZO/BEG,,03422,1
108737508,DaimlerChrys. BKK HE/BEG,108030775,66578,1
108737519,BKK N?rnberger HERZO/BEG,102122660,66533,1
108737520,BKK HYPOVEREINSB.HER/BEG,108428980,66535,1
108737531,BKK TEKADE-FGF HERZO/BEG,108738122,66534,1
108737553,BAVARIA BKK / HERZO/BEG,108729553,66538,1
108737586,Siemens BKK  Netz-HE/BEG,108433248,66531,1
108737597,BAVARIA BKK/BEG,109139926,99508,1
108737644,BKK BMW N.HERZOGenau/BEG,109034270,66520,1
108737677,Energie BKK Netz PNN/BEG,102129930,66561,1
108737724,Schwenninger BKK HER/BEG,107536262,66567,1
108737746,BKK Allianz HERZO/BEG,108432429,66523,1
102192017,BKK TUI / Ost/GG,102137985,99598,1
102192471,BKK MOBIL OIL/GG,101520078,99413,1
102222525,BKK Senking,102129849,10416,1
102734283,SIEMENS BETRIEBSKRANK/GG,108033244,63401,1
102822623,Die maritime BKK,103726081,16402,1
102822634,BKK HUETTE NORDENHAM,103726081,16401,1
103123674,BKK Mercedes-Benz Ost,108038078,99506,1
103128964,BKK Mercedes-Benz Ost,108038078,99506,1
103132436,BKK Mercedes-Benz Ost,108038078,99506,1
103132447,BKK Mercedes-Benz Ost,108038078,99506,1
103521632,LOGISTIK BKK -Ost-/GG,103524430,99451,1
103521789,INOVITA BKK -Ost-/GG,103525419,99475,1
103521790,BKK Verkehrsbau Union/GG,,99476,1
103523440,DIE CONTINENTALE BKK/GG,101523446,18536,1
103523565,BKK Continentale Ost/GG,103523440,99502,1
103524043,BKK Rump,104424829,18510,1
103524054,BKK Wilhelm Berg,103526283,18406,1
103524065,BKK MAYWEG/GG,103526875,18487,1
103524076,BKK THORN LICHT ARNSB/GG,104424829,18470,1
103524087,BKK METALLWERKE NEHEI/GG,104424829,18489,1
103524101,BKK Br”kelmann Jaeger/GG,103724272,18415,1
103524112,BKK F.W.Br”kelmann Al/GG,103526615,18414,1
103524123,BKK Degussa,105330282,18422,1
103524214,BKK Busch Bestwig/GG,103726263,18418,1
103524350,BKK B O G E S T R A/GG,104826197,18409,1
103524361,BKK Gebr. Eickhoff/GG,103524372,18435,1
103524372,BKK Ruhrgebiet/GG,103524407,18528,1
103524383,BKK Aktiv / West/GG,106224387,18454,1
103524407,VIACTIV Krankenkasse/GG,,18405,1
104127088,BKK AseAG,104424829,21401,1
104127157,BKK Peill+Putzler,104826197,21414,1
104127215,BKK Elektrometall.,104826197,21403,1
104127420,BKK Schoeller textil/BEG,103526001,21416,1
104127567,BKK Sch”ller, H.A,104826197,21415,1
104127692,actimonda krankenkas/BEG,103501080,21405,1
104127705,BKK Osnabr?ck/BEG,103121137,13420,1
104131368,SAINT-GOBAIN BKK/Ost/BEG,104124029,99500,1
104220878,BKK Deutsche Bank Os/BEG,104224634,99442,1
104220958,BKK VICTORIA D.A.S.//BEG,104229606,99454,1
104221492,BKK Balcke-D?rr AG O/BEG,,99462,1
104221619,BKK FPB Holding Ost/BEG,107829723,99467,1
104223278,DIE GEMEINSAME BKK O/BEG,104529255,99492,1
104224019,BKK D?sseldorf/BEG,,24457,1
104224601,BKK Rheinmetall,104224612,24446,1
104224612,BKK der Rheinmetall-/BEG,104232360,24429,1
104224623,BKK FPB HOLDING AG/BEG,107829712,24420,1
104224634,BKK Deutsche Bank/BEG,,24413,1
104224645,BKK D?sseldorf/BEG,,24457,1
104224667,BKK D”rries,104829759,24451,1
104224678,BKK Gerreshm.Glas,104830638,24427,1
104224703,BKK mannesmann/BEG,104526376,24471,1
104224725,B K K HENKEL/BEG,104232360,24426,1
104224758,BKK HILLE & MšLLER/BEG,,24428,1
104225292,BKK VAW Aluminium,104424829,24470,1
104226340,BKK Bauer+Schaurte,104829759,24403,1
104226464,BKK Balcke-D?rr,104826197,24414,1
104226987,BKK   R K W/BEG,104926520,24442,1
104227169,BKK A.Bagel/BEG,104229606,24402,1
107721962,BKK Osnabr?ck Ost/BEG,107729631,99522,1
107723178,Deutsche BKK Ost/BEG,101939006,99525,1
107729631,BKK firmus / Ost/BEG,103121137,99587,1
